math score,gender,race/ethnicity,parental level of education,lunch,test preparation course
72,female,group B,bachelor's degree,standard,none
69,female,group C,some college,standard,completed
90,female,group B,master's degree,standard,none
47,male,group A,associate's degree,free/reduced,none
76,male,group C,some college,standard,none
71,female,group B,associate's degree,standard,none
88,female,group B,some college,standard,completed
40,male,group B,some college,free/reduced,none
64,male,group D,high school,free/reduced,completed
38,female,group B,high school,free/reduced,none
58,male,group C,associate's degree,standard,none
40,male,group D,associate's degree,standard,none
65,female,group B,high school,standard,none
78,male,group A,some college,standard,completed
50,female,group A,master's degree,standard,none
69,female,group C,some high school,standard,none
88,male,group C,high school,standard,none
18,female,group B,some high school,free/reduced,none
46,male,group C,master's degree,free/reduced,completed
54,female,group C,associate's degree,free/reduced,none
66,male,group D,high school,standard,none
65,female,group B,some college,free/reduced,completed
44,male,group D,some college,standard,none
69,female,group C,some high school,standard,none
74,male,group D,bachelor's degree,free/reduced,completed
73,male,group A,master's degree,free/reduced,none
69,male,group B,some college,standard,none
67,female,group C,bachelor's degree,standard,none
70,male,group C,high school,standard,none
62,female,group D,master's degree,standard,none
69,female,group D,some college,standard,none
63,female,group B,some college,standard,none
56,female,group E,master's degree,free/reduced,none
40,male,group D,some college,standard,none
97,male,group E,some college,standard,none
81,male,group E,associate's degree,standard,completed
74,female,group D,associate's degree,standard,none
50,female,group D,some high school,free/reduced,none
75,female,group D,associate's degree,free/reduced,completed
57,male,group B,associate's degree,free/reduced,none
55,male,group C,associate's degree,free/reduced,none
58,female,group C,associate's degree,standard,none
53,female,group B,associate's degree,standard,none
59,male,group B,some college,free/reduced,completed
50,female,group E,associate's degree,free/reduced,none
65,male,group B,associate's degree,standard,none
55,female,group A,associate's degree,standard,completed
66,female,group C,high school,standard,none
57,female,group D,associate's degree,free/reduced,completed
82,male,group C,high school,standard,completed
53,male,group E,some college,standard,none
77,male,group E,associate's degree,free/reduced,completed
53,male,group C,some college,standard,none
88,male,group D,high school,standard,none
71,female,group C,some high school,free/reduced,completed
33,female,group C,high school,free/reduced,none
82,female,group E,associate's degree,standard,completed
52,male,group D,associate's degree,standard,none
58,male,group D,some college,standard,completed
0,female,group C,some high school,free/reduced,none
79,male,group E,bachelor's degree,free/reduced,completed
39,male,group A,some high school,free/reduced,none
62,male,group A,associate's degree,free/reduced,none
69,female,group C,associate's degree,standard,none
59,female,group D,some high school,standard,none
67,male,group B,some high school,standard,none
45,male,group D,some high school,free/reduced,none
60,female,group C,some college,standard,none
61,male,group B,associate's degree,free/reduced,none
39,female,group C,associate's degree,standard,none
58,female,group D,some college,free/reduced,completed
63,male,group D,some college,standard,completed
41,female,group A,associate's degree,free/reduced,none
61,male,group C,some high school,free/reduced,none
49,male,group C,some high school,standard,none
44,male,group B,associate's degree,free/reduced,none
30,male,group E,some high school,standard,none
80,male,group A,bachelor's degree,standard,completed
61,female,group D,some high school,standard,completed
62,female,group E,master's degree,standard,none
47,female,group B,associate's degree,standard,none
49,male,group B,high school,free/reduced,none
50,male,group A,some college,free/reduced,completed
72,male,group E,associate's degree,standard,none
42,male,group D,high school,free/reduced,none
73,female,group C,some college,standard,none
76,female,group C,some college,free/reduced,none
71,female,group D,associate's degree,standard,none
58,female,group A,some college,standard,none
73,female,group D,some high school,standard,none
65,female,group C,bachelor's degree,standard,none
27,male,group C,high school,free/reduced,none
71,male,group C,high school,standard,none
43,male,group C,associate's degree,free/reduced,completed
79,female,group B,some college,standard,none
78,male,group C,associate's degree,free/reduced,completed
65,male,group B,some high school,standard,completed
63,female,group E,some college,standard,completed
58,female,group D,some college,free/reduced,none
65,female,group D,bachelor's degree,standard,none
79,male,group B,some college,standard,none
68,male,group D,bachelor's degree,standard,completed
85,female,group D,associate's degree,standard,none
60,male,group B,high school,standard,completed
98,male,group C,some college,standard,completed
58,female,group C,some college,standard,none
87,female,group D,master's degree,standard,none
66,male,group E,associate's degree,standard,completed
52,female,group B,associate's degree,free/reduced,none
70,female,group B,some high school,standard,none
77,female,group D,associate's degree,free/reduced,completed
62,male,group C,high school,standard,none
54,male,group A,associate's degree,standard,none
51,female,group D,some college,standard,none
99,female,group E,bachelor's degree,standard,completed
84,male,group C,high school,standard,none
75,female,group B,bachelor's degree,free/reduced,none
78,female,group D,bachelor's degree,standard,none
51,female,group D,some high school,standard,none
55,female,group C,some college,standard,none
79,female,group C,bachelor's degree,standard,completed
91,male,group B,associate's degree,standard,completed
88,female,group C,some college,standard,completed
63,male,group D,high school,free/reduced,none
83,male,group E,some college,standard,none
87,female,group B,high school,standard,none
72,male,group B,some high school,standard,none
65,male,group D,some college,standard,completed
82,male,group D,master's degree,standard,none
51,female,group A,bachelor's degree,standard,none
89,male,group D,master's degree,standard,none
53,male,group C,some high school,free/reduced,completed
87,male,group E,some college,free/reduced,completed
75,female,group C,some college,standard,completed
74,male,group D,bachelor's degree,free/reduced,completed
58,male,group C,bachelor's degree,standard,none
51,male,group B,some high school,standard,completed
70,male,group E,high school,standard,none
59,female,group C,associate's degree,standard,none
71,male,group D,some college,standard,completed
76,female,group D,some high school,standard,none
59,female,group C,some college,free/reduced,none
42,female,group E,some college,free/reduced,completed
57,male,group A,high school,standard,none
88,male,group D,some college,standard,none
22,female,group C,some college,free/reduced,none
88,male,group B,some high school,standard,none
73,male,group C,associate's degree,free/reduced,none
68,female,group D,bachelor's degree,standard,completed
100,male,group E,associate's degree,free/reduced,completed
62,male,group A,some high school,standard,completed
77,male,group A,bachelor's degree,standard,none
59,female,group B,associate's degree,standard,completed
54,male,group D,bachelor's degree,standard,none
62,male,group D,some high school,standard,none
70,female,group C,some college,standard,completed
66,female,group E,high school,free/reduced,completed
60,male,group B,some college,free/reduced,none
61,female,group B,associate's degree,standard,completed
66,male,group D,associate's degree,free/reduced,none
82,male,group B,associate's degree,free/reduced,completed
75,female,group E,some college,free/reduced,completed
49,male,group B,master's degree,free/reduced,none
52,male,group C,high school,standard,none
81,female,group E,master's degree,standard,none
96,female,group C,bachelor's degree,standard,completed
53,male,group C,high school,free/reduced,completed
58,female,group B,master's degree,free/reduced,completed
68,female,group B,high school,standard,completed
67,female,group C,some college,free/reduced,completed
72,male,group A,high school,standard,completed
94,male,group E,some high school,standard,none
79,female,group D,some college,standard,none
63,female,group C,associate's degree,standard,none
43,female,group C,bachelor's degree,free/reduced,completed
81,female,group C,master's degree,standard,completed
46,female,group B,high school,free/reduced,completed
71,female,group C,associate's degree,standard,completed
52,female,group B,master's degree,free/reduced,completed
97,female,group D,some high school,standard,completed
62,male,group C,master's degree,free/reduced,completed
46,female,group C,some college,free/reduced,none
50,female,group E,high school,standard,none
65,female,group D,associate's degree,standard,none
45,male,group C,some high school,free/reduced,completed
65,male,group C,associate's degree,free/reduced,completed
80,male,group E,high school,standard,none
62,male,group D,some high school,standard,completed
48,male,group B,some high school,free/reduced,none
77,female,group C,bachelor's degree,standard,none
66,female,group E,associate's degree,standard,none
76,male,group D,some college,standard,completed
62,female,group B,some high school,standard,none
77,male,group D,some college,standard,completed
69,female,group C,master's degree,standard,completed
61,male,group D,associate's degree,standard,none
59,male,group C,some high school,free/reduced,completed
55,male,group E,high school,free/reduced,none
45,female,group B,some college,free/reduced,none
78,female,group B,bachelor's degree,free/reduced,none
67,female,group C,associate's degree,standard,completed
65,female,group D,some college,free/reduced,none
69,male,group C,associate's degree,standard,none
57,female,group B,associate's degree,standard,none
59,male,group C,some college,standard,none
74,male,group D,some high school,standard,completed
82,male,group E,bachelor's degree,standard,none
81,male,group E,high school,standard,completed
74,female,group B,some college,free/reduced,none
58,female,group B,some college,free/reduced,none
80,male,group D,some high school,free/reduced,completed
35,male,group C,some college,free/reduced,none
42,female,group C,high school,free/reduced,none
60,male,group C,associate's degree,free/reduced,completed
87,male,group E,high school,standard,completed
84,male,group B,some high school,standard,completed
83,female,group E,associate's degree,free/reduced,completed
34,female,group C,high school,free/reduced,none
66,male,group B,high school,free/reduced,none
61,male,group B,some high school,standard,completed
56,female,group D,high school,standard,completed
87,male,group B,associate's degree,standard,none
55,female,group C,some high school,free/reduced,none
86,male,group D,some high school,standard,none
52,female,group B,associate's degree,standard,completed
45,female,group E,master's degree,free/reduced,none
72,female,group C,some college,standard,none
57,male,group D,high school,standard,none
68,male,group A,some high school,free/reduced,none
88,female,group C,some college,standard,completed
76,male,group D,some college,standard,none
46,male,group C,associate's degree,standard,none
67,female,group B,bachelor's degree,standard,none
92,male,group E,some high school,standard,none
83,male,group C,bachelor's degree,standard,completed
80,male,group D,associate's degree,standard,none
63,male,group D,bachelor's degree,free/reduced,none
64,female,group D,some high school,standard,completed
54,male,group B,some college,standard,none
84,male,group C,associate's degree,standard,none
73,male,group D,high school,free/reduced,completed
80,female,group E,bachelor's degree,standard,none
56,female,group D,high school,standard,none
59,male,group E,some college,standard,none
75,male,group D,some high school,standard,none
85,male,group C,associate's degree,standard,none
89,male,group E,associate's degree,standard,none
58,female,group B,high school,standard,completed
65,female,group B,high school,standard,none
68,male,group C,high school,standard,none
47,male,group A,some high school,standard,completed
71,female,group D,some college,free/reduced,none
60,female,group B,some high school,standard,completed
80,male,group D,master's degree,standard,none
54,male,group D,high school,standard,none
62,female,group E,some college,standard,none
64,female,group C,associate's degree,free/reduced,none
78,male,group C,associate's degree,standard,completed
70,female,group B,some college,standard,none
65,female,group C,master's degree,free/reduced,completed
64,female,group C,some high school,free/reduced,completed
79,male,group C,some college,standard,completed
44,female,group C,some high school,free/reduced,none
99,female,group E,high school,standard,none
76,male,group D,high school,standard,none
59,male,group D,some high school,free/reduced,none
63,female,group C,bachelor's degree,standard,none
69,female,group D,high school,standard,none
88,female,group D,associate's degree,standard,completed
71,female,group E,some college,free/reduced,none
69,male,group C,bachelor's degree,standard,none
58,male,group C,some college,standard,none
47,female,group D,associate's degree,free/reduced,none
65,female,group D,some college,standard,none
88,male,group B,some college,standard,completed
83,male,group C,bachelor's degree,standard,none
85,female,group C,some high school,standard,completed
59,female,group E,high school,standard,completed
65,female,group C,some high school,free/reduced,none
73,male,group B,bachelor's degree,free/reduced,none
53,male,group D,high school,standard,none
45,male,group D,high school,standard,none
73,female,group D,bachelor's degree,free/reduced,none
70,female,group D,some college,free/reduced,completed
37,female,group B,some high school,standard,none
81,male,group B,associate's degree,standard,completed
97,male,group E,associate's degree,standard,completed
67,female,group B,some high school,standard,none
88,male,group B,bachelor's degree,free/reduced,none
77,male,group E,some high school,standard,completed
76,male,group C,associate's degree,standard,none
86,male,group D,some high school,standard,none
63,male,group C,some high school,standard,completed
65,female,group E,bachelor's degree,standard,none
78,male,group D,high school,free/reduced,completed
67,male,group B,associate's degree,free/reduced,none
46,male,group A,some high school,standard,completed
71,male,group E,associate's degree,standard,completed
40,male,group C,high school,free/reduced,completed
90,male,group D,associate's degree,free/reduced,none
81,male,group A,some college,free/reduced,completed
56,male,group D,some high school,free/reduced,none
67,female,group C,associate's degree,standard,completed
80,male,group B,associate's degree,standard,none
74,female,group C,associate's degree,standard,completed
69,male,group A,some college,standard,none
99,male,group E,some college,standard,completed
51,male,group C,some high school,standard,none
53,female,group B,associate's degree,free/reduced,none
49,female,group D,high school,free/reduced,none
73,female,group B,associate's degree,standard,none
66,male,group B,bachelor's degree,standard,none
67,male,group D,bachelor's degree,standard,completed
68,female,group C,associate's degree,free/reduced,completed
59,female,group C,bachelor's degree,standard,completed
71,male,group C,high school,standard,none
77,female,group D,master's degree,standard,completed
83,male,group C,associate's degree,standard,none
63,male,group B,bachelor's degree,standard,none
56,female,group D,associate's degree,free/reduced,none
67,female,group C,high school,free/reduced,completed
75,female,group E,high school,standard,none
71,female,group C,some college,standard,none
43,female,group C,some high school,free/reduced,none
41,female,group C,high school,free/reduced,none
82,female,group C,some college,standard,none
61,male,group C,some college,standard,none
28,male,group A,some college,free/reduced,none
82,male,group C,associate's degree,standard,completed
41,female,group B,some high school,standard,none
71,male,group C,high school,standard,none
47,male,group C,associate's degree,standard,none
62,male,group E,associate's degree,standard,completed
90,male,group B,associate's degree,standard,none
83,female,group C,bachelor's degree,standard,none
61,female,group B,some college,free/reduced,none
76,male,group D,some high school,standard,completed
49,male,group C,associate's degree,standard,none
24,female,group B,some high school,free/reduced,none
35,female,group D,some high school,free/reduced,completed
58,male,group C,high school,free/reduced,none
61,female,group C,high school,standard,none
69,female,group B,high school,standard,completed
67,male,group D,associate's degree,standard,completed
79,male,group D,some college,standard,none
72,female,group C,high school,standard,none
62,male,group B,some college,standard,none
77,female,group C,bachelor's degree,standard,completed
75,male,group D,high school,free/reduced,none
87,male,group E,associate's degree,standard,none
52,female,group B,bachelor's degree,standard,none
66,male,group E,some college,standard,none
63,female,group C,some college,standard,completed
46,female,group C,associate's degree,standard,none
59,female,group C,some college,standard,none
61,female,group B,bachelor's degree,standard,none
63,male,group A,associate's degree,standard,none
42,female,group C,some college,free/reduced,completed
59,male,group D,some college,free/reduced,none
80,female,group D,some college,standard,none
58,female,group B,high school,standard,none
85,male,group B,some high school,standard,completed
52,female,group C,some college,standard,none
27,female,group D,some high school,free/reduced,none
59,male,group C,some college,standard,none
49,male,group A,bachelor's degree,free/reduced,completed
69,male,group C,high school,standard,completed
61,male,group C,bachelor's degree,free/reduced,none
44,female,group A,some high school,free/reduced,none
73,female,group D,some high school,standard,none
84,male,group E,some college,standard,none
45,female,group C,some college,free/reduced,completed
74,male,group D,some high school,standard,none
82,female,group D,some college,standard,completed
59,female,group D,bachelor's degree,standard,none
46,male,group E,associate's degree,free/reduced,none
80,female,group D,some high school,standard,none
85,female,group D,master's degree,free/reduced,completed
71,female,group A,some high school,standard,none
66,male,group A,bachelor's degree,standard,none
80,female,group B,associate's degree,standard,none
87,male,group C,associate's degree,standard,completed
79,male,group C,master's degree,free/reduced,none
38,female,group E,some high school,free/reduced,none
38,female,group A,some high school,free/reduced,none
67,female,group E,some college,standard,none
64,female,group E,bachelor's degree,standard,none
57,female,group C,associate's degree,free/reduced,none
62,female,group D,high school,standard,none
73,male,group D,master's degree,standard,none
73,male,group E,some high school,free/reduced,completed
77,female,group D,some college,standard,none
76,male,group E,some college,standard,none
57,male,group C,associate's degree,standard,completed
65,female,group C,some high school,standard,completed
48,male,group A,high school,free/reduced,none
50,female,group B,high school,free/reduced,none
85,female,group C,associate's degree,standard,none
74,male,group B,some high school,standard,none
60,male,group D,some high school,standard,none
59,female,group C,some high school,standard,completed
53,male,group A,some college,standard,none
49,female,group A,some college,free/reduced,none
88,female,group D,high school,standard,completed
54,female,group C,high school,standard,none
63,female,group C,some high school,standard,none
65,male,group B,associate's degree,standard,completed
82,female,group B,associate's degree,standard,none
52,female,group D,high school,free/reduced,completed
87,male,group D,associate's degree,standard,completed
70,female,group D,master's degree,standard,completed
84,male,group E,some college,standard,completed
71,male,group D,associate's degree,standard,none
63,male,group B,some high school,standard,completed
51,female,group C,bachelor's degree,free/reduced,completed
84,male,group E,high school,standard,none
71,male,group C,bachelor's degree,standard,completed
74,male,group C,associate's degree,standard,none
68,male,group D,some college,standard,none
57,male,group E,high school,free/reduced,completed
82,female,group C,associate's degree,free/reduced,completed
57,female,group D,high school,standard,completed
47,female,group D,master's degree,free/reduced,completed
59,female,group A,some high school,standard,completed
41,male,group B,some college,free/reduced,none
62,female,group C,some college,free/reduced,none
86,male,group C,bachelor's degree,standard,none
69,male,group C,some high school,free/reduced,none
65,male,group A,some high school,free/reduced,none
68,male,group C,some high school,free/reduced,none
64,male,group C,associate's degree,free/reduced,none
61,female,group C,high school,standard,none
61,male,group C,high school,standard,none
47,female,group A,some high school,free/reduced,none
73,male,group C,some high school,standard,none
50,male,group C,some college,free/reduced,completed
75,male,group D,associate's degree,standard,none
75,male,group D,associate's degree,free/reduced,none
70,male,group C,high school,standard,none
89,male,group D,some high school,standard,completed
67,female,group C,some college,standard,completed
78,female,group D,high school,standard,none
59,female,group A,some high school,free/reduced,none
73,female,group B,associate's degree,standard,none
79,male,group A,some high school,free/reduced,none
67,female,group C,some high school,standard,completed
69,male,group D,some college,free/reduced,none
86,male,group C,high school,standard,completed
47,male,group B,high school,standard,none
81,male,group B,associate's degree,standard,none
64,female,group C,some college,free/reduced,completed
100,female,group E,some college,standard,none
65,female,group C,associate's degree,free/reduced,none
65,male,group C,some college,free/reduced,none
53,female,group C,associate's degree,free/reduced,none
37,male,group C,bachelor's degree,free/reduced,none
79,female,group D,bachelor's degree,standard,none
53,male,group D,associate's degree,free/reduced,none
100,female,group E,bachelor's degree,standard,none
72,male,group B,high school,standard,completed
53,male,group C,bachelor's degree,free/reduced,none
54,male,group B,some college,free/reduced,none
71,female,group E,some college,standard,none
77,female,group C,some college,free/reduced,none
75,male,group A,bachelor's degree,standard,completed
84,female,group C,some college,standard,none
26,female,group D,associate's degree,free/reduced,none
72,male,group A,high school,free/reduced,completed
77,female,group A,high school,free/reduced,completed
91,male,group C,some college,standard,none
83,female,group C,associate's degree,standard,completed
63,female,group C,high school,standard,none
68,female,group C,associate's degree,standard,completed
59,female,group D,some high school,standard,none
90,female,group B,associate's degree,standard,completed
71,female,group D,bachelor's degree,standard,completed
76,male,group E,bachelor's degree,standard,completed
80,male,group D,associate's degree,standard,none
55,female,group D,master's degree,standard,none
76,male,group E,associate's degree,standard,none
73,male,group B,high school,standard,completed
52,female,group D,associate's degree,free/reduced,none
68,male,group C,some college,free/reduced,none
59,male,group A,high school,standard,none
49,female,group B,associate's degree,standard,none
70,male,group C,high school,standard,none
61,male,group D,some college,free/reduced,none
60,female,group C,associate's degree,free/reduced,none
64,male,group B,some high school,standard,completed
79,male,group A,associate's degree,free/reduced,completed
65,female,group A,associate's degree,free/reduced,none
64,female,group C,associate's degree,standard,none
83,female,group C,some college,standard,none
81,female,group C,bachelor's degree,standard,none
54,female,group B,high school,standard,none
68,male,group D,high school,standard,completed
54,female,group C,some college,standard,none
59,female,group D,some college,free/reduced,completed
66,female,group B,some high school,standard,none
