math score,gender,race/ethnicity,parental level of education,lunch,test preparation course
76,male,group E,some college,standard,none
74,female,group D,master's degree,standard,none
94,female,group B,associate's degree,standard,completed
63,male,group C,some college,free/reduced,none
95,female,group E,associate's degree,standard,completed
40,female,group D,master's degree,free/reduced,none
82,female,group B,some high school,standard,none
68,male,group A,high school,standard,none
55,male,group B,bachelor's degree,free/reduced,none
79,male,group C,master's degree,standard,none
86,female,group C,bachelor's degree,standard,none
76,male,group D,some college,standard,none
64,male,group A,some high school,standard,none
62,male,group D,some high school,free/reduced,none
54,female,group B,some high school,standard,completed
77,female,group B,master's degree,free/reduced,completed
76,female,group C,some high school,standard,completed
74,female,group D,some college,standard,none
66,female,group E,some college,standard,completed
66,female,group D,some high school,standard,completed
67,female,group B,high school,free/reduced,completed
71,male,group D,some college,standard,none
91,female,group C,associate's degree,standard,none
69,male,group D,bachelor's degree,standard,none
54,male,group C,master's degree,free/reduced,none
53,male,group C,high school,standard,completed
68,male,group E,some college,standard,none
56,male,group C,some high school,free/reduced,completed
36,female,group C,high school,free/reduced,none
29,female,group D,bachelor's degree,free/reduced,none
62,female,group C,associate's degree,standard,none
68,female,group C,associate's degree,standard,completed
47,female,group C,some high school,standard,none
62,male,group E,associate's degree,standard,completed
79,female,group E,associate's degree,standard,completed
73,male,group B,high school,standard,completed
66,female,group C,bachelor's degree,free/reduced,completed
51,male,group C,associate's degree,standard,completed
51,female,group D,high school,standard,none
85,male,group E,bachelor's degree,standard,completed
97,male,group A,associate's degree,standard,completed
75,male,group C,high school,standard,completed
79,male,group D,associate's degree,free/reduced,completed
81,female,group C,associate's degree,standard,none
82,female,group D,associate's degree,standard,none
64,female,group D,master's degree,standard,none
78,male,group E,some high school,free/reduced,completed
92,female,group A,some high school,standard,completed
72,male,group C,high school,standard,completed
62,female,group C,high school,free/reduced,none
79,male,group C,master's degree,standard,none
79,male,group C,some high school,free/reduced,none
87,male,group B,bachelor's degree,free/reduced,completed
40,female,group B,associate's degree,standard,none
77,male,group D,some college,free/reduced,none
53,male,group E,associate's degree,standard,none
32,female,group C,some college,free/reduced,none
55,female,group C,associate's degree,standard,completed
61,male,group C,master's degree,free/reduced,none
53,female,group B,associate's degree,free/reduced,none
73,male,group D,some high school,standard,none
74,female,group D,some college,standard,completed
63,female,group C,some college,standard,none
96,male,group C,bachelor's degree,standard,completed
63,female,group D,some college,free/reduced,completed
48,male,group B,bachelor's degree,free/reduced,none
48,male,group B,associate's degree,standard,none
92,female,group E,bachelor's degree,free/reduced,completed
61,female,group D,master's degree,free/reduced,completed
63,male,group B,high school,free/reduced,none
68,male,group D,bachelor's degree,free/reduced,none
71,male,group B,some college,standard,completed
91,male,group A,bachelor's degree,standard,none
53,female,group C,some college,standard,none
50,female,group C,high school,free/reduced,completed
74,female,group E,high school,standard,none
40,male,group A,associate's degree,free/reduced,completed
61,male,group A,some college,standard,completed
81,female,group B,high school,standard,none
48,female,group B,some college,free/reduced,completed
53,female,group D,master's degree,standard,none
81,female,group D,some high school,standard,none
77,female,group E,some high school,standard,none
63,female,group D,bachelor's degree,free/reduced,none
73,female,group D,associate's degree,standard,completed
69,female,group D,some college,standard,none
65,female,group C,associate's degree,standard,none
55,female,group A,high school,standard,none
44,female,group C,bachelor's degree,free/reduced,none
54,female,group C,some college,standard,none
48,female,group A,some high school,standard,none
58,male,group C,some college,free/reduced,none
71,male,group A,some high school,standard,none
68,male,group E,bachelor's degree,standard,none
74,female,group E,high school,standard,none
92,female,group C,bachelor's degree,standard,completed
56,female,group C,bachelor's degree,standard,completed
30,male,group B,high school,free/reduced,none
53,male,group A,some high school,standard,none
69,female,group D,high school,standard,none
65,female,group D,some high school,standard,none
54,female,group D,master's degree,standard,none
29,female,group C,high school,standard,none
76,female,group E,some college,standard,none
60,male,group D,high school,free/reduced,none
84,male,group D,master's degree,free/reduced,completed
75,male,group C,some high school,standard,none
85,female,group C,associate's degree,standard,none
40,female,group C,master's degree,free/reduced,none
61,female,group E,some college,standard,none
58,female,group B,associate's degree,standard,none
69,male,group D,some college,free/reduced,completed
58,female,group C,some college,standard,none
94,male,group C,bachelor's degree,standard,completed
65,female,group C,associate's degree,standard,none
82,female,group A,associate's degree,standard,none
60,female,group C,high school,standard,none
37,female,group E,bachelor's degree,standard,none
88,male,group D,bachelor's degree,standard,none
95,male,group D,master's degree,standard,none
65,male,group C,associate's degree,free/reduced,completed
35,female,group C,high school,free/reduced,none
62,male,group B,bachelor's degree,free/reduced,none
58,male,group C,high school,free/reduced,completed
100,male,group A,some college,standard,completed
61,female,group E,bachelor's degree,free/reduced,none
100,male,group D,some college,standard,completed
69,male,group B,associate's degree,free/reduced,completed
61,male,group D,associate's degree,standard,none
49,male,group D,some college,free/reduced,none
44,female,group C,some high school,standard,completed
67,male,group D,some college,standard,none
79,male,group B,high school,standard,none
66,female,group B,bachelor's degree,standard,completed
75,female,group C,high school,standard,none
84,male,group D,some high school,standard,none
71,male,group A,high school,standard,none
67,female,group B,high school,free/reduced,completed
80,female,group D,some high school,standard,completed
86,male,group E,some college,standard,none
76,female,group D,associate's degree,standard,none
41,male,group D,high school,standard,none
74,female,group D,associate's degree,free/reduced,completed
72,female,group B,some high school,free/reduced,none
74,female,group E,high school,standard,completed
70,male,group B,high school,standard,none
65,female,group B,bachelor's degree,standard,completed
59,female,group D,associate's degree,standard,none
64,female,group E,high school,free/reduced,none
50,female,group B,high school,standard,none
69,female,group D,some college,standard,completed
51,male,group C,some high school,free/reduced,completed
68,female,group A,high school,standard,completed
85,female,group D,some college,standard,completed
65,female,group A,associate's degree,standard,completed
73,female,group B,some high school,standard,none
62,female,group B,some college,standard,none
77,male,group C,associate's degree,free/reduced,none
69,male,group D,some high school,standard,none
43,female,group D,associate's degree,free/reduced,none
90,male,group D,associate's degree,standard,none
74,male,group C,some college,free/reduced,none
73,male,group C,some high school,standard,none
55,female,group D,some college,free/reduced,none
65,female,group C,high school,standard,none
80,male,group D,associate's degree,standard,none
50,female,group C,some high school,free/reduced,completed
63,female,group C,some college,free/reduced,completed
77,female,group B,bachelor's degree,free/reduced,none
73,male,group C,some college,standard,none
81,male,group D,associate's degree,standard,completed
66,female,group C,high school,free/reduced,none
52,male,group D,associate's degree,free/reduced,none
69,female,group C,some college,standard,none
65,female,group C,associate's degree,standard,completed
69,female,group D,high school,standard,completed
50,female,group B,some college,standard,completed
73,female,group E,some college,standard,completed
70,female,group C,some high school,standard,completed
81,male,group D,associate's degree,free/reduced,none
63,male,group D,some college,free/reduced,none
67,female,group D,high school,standard,none
60,male,group B,high school,standard,none
62,male,group B,high school,standard,none
29,female,group C,some high school,free/reduced,completed
62,male,group B,some college,standard,completed
94,female,group E,master's degree,standard,completed
85,male,group E,some college,standard,completed
77,male,group D,associate's degree,free/reduced,none
53,male,group A,high school,free/reduced,none
93,male,group E,some college,free/reduced,none
49,female,group C,associate's degree,standard,none
73,female,group E,associate's degree,free/reduced,none
66,female,group C,bachelor's degree,free/reduced,completed
77,female,group D,associate's degree,standard,none
49,female,group C,some high school,standard,none
79,female,group D,some college,free/reduced,none
75,female,group C,associate's degree,standard,completed
59,female,group A,bachelor's degree,standard,none
57,female,group D,associate's degree,standard,completed
66,male,group C,high school,free/reduced,none
79,female,group E,bachelor's degree,standard,completed
57,female,group B,some high school,standard,none
87,male,group A,bachelor's degree,standard,completed
63,female,group D,some college,standard,none
59,female,group B,some high school,free/reduced,completed
62,male,group A,bachelor's degree,free/reduced,none
46,male,group D,high school,standard,none
66,male,group C,some college,standard,none
89,male,group D,high school,standard,none
42,female,group D,associate's degree,free/reduced,completed
93,male,group C,some college,standard,completed
80,female,group E,some high school,standard,completed
98,female,group D,some college,standard,none
81,male,group D,master's degree,standard,none
60,female,group B,some high school,standard,completed
76,female,group B,associate's degree,free/reduced,completed
73,male,group C,associate's degree,standard,completed
96,female,group C,associate's degree,standard,completed
76,female,group C,high school,standard,none
91,male,group E,associate's degree,free/reduced,completed
62,female,group C,some college,free/reduced,none
55,male,group D,some high school,free/reduced,completed
74,female,group B,some high school,free/reduced,completed
50,male,group C,high school,standard,none
47,male,group B,some college,standard,none
81,male,group E,some college,standard,completed
65,female,group E,associate's degree,standard,completed
68,male,group E,some high school,standard,completed
73,female,group D,high school,free/reduced,none
53,male,group C,some college,standard,none
68,female,group B,associate's degree,free/reduced,completed
55,male,group A,some high school,free/reduced,none
87,female,group C,some college,standard,completed
55,male,group D,some high school,standard,none
53,female,group E,some college,free/reduced,none
67,male,group C,master's degree,standard,none
92,male,group C,associate's degree,standard,none
53,female,group B,some college,free/reduced,completed
81,male,group D,associate's degree,standard,none
61,male,group C,high school,free/reduced,none
80,male,group D,bachelor's degree,standard,none
37,female,group A,associate's degree,free/reduced,none
81,female,group C,high school,standard,none
59,female,group C,associate's degree,standard,completed
55,male,group B,some college,free/reduced,none
72,male,group D,associate's degree,standard,none
69,male,group D,high school,standard,none
69,male,group C,some college,standard,none
50,female,group C,bachelor's degree,free/reduced,none
87,male,group B,some college,standard,completed
71,male,group D,some high school,standard,completed
68,male,group E,some college,standard,none
79,male,group C,master's degree,free/reduced,completed
77,female,group C,some high school,standard,completed
58,male,group C,associate's degree,free/reduced,none
84,female,group E,associate's degree,standard,none
55,male,group D,some college,standard,none
70,male,group E,bachelor's degree,free/reduced,completed
52,female,group D,some college,free/reduced,completed
69,male,group B,some college,standard,completed
53,female,group C,high school,free/reduced,none
48,female,group D,some high school,standard,none
78,male,group D,some high school,standard,completed
62,female,group B,high school,standard,none
60,male,group D,some college,standard,none
74,female,group B,high school,standard,none
58,female,group C,high school,standard,completed
76,male,group B,high school,standard,completed
68,female,group D,some high school,standard,none
58,male,group A,some college,free/reduced,none
52,male,group B,high school,standard,none
75,male,group D,bachelor's degree,standard,none
52,female,group B,some high school,free/reduced,completed
62,female,group C,bachelor's degree,free/reduced,none
66,male,group B,some college,standard,none
49,female,group B,some high school,free/reduced,none
66,female,group B,high school,standard,none
35,female,group C,some college,free/reduced,none
72,female,group A,some college,standard,completed
94,male,group E,associate's degree,standard,completed
46,female,group D,associate's degree,free/reduced,none
77,female,group B,master's degree,standard,none
76,female,group B,high school,free/reduced,completed
52,female,group C,associate's degree,standard,completed
91,male,group C,bachelor's degree,standard,completed
32,female,group B,some high school,standard,completed
72,female,group E,some high school,free/reduced,none
19,female,group B,some college,standard,none
68,male,group C,associate's degree,free/reduced,none
52,female,group C,master's degree,free/reduced,none
48,female,group B,high school,standard,none
60,female,group D,some college,free/reduced,none
66,male,group D,high school,free/reduced,none
89,male,group E,some high school,standard,completed
42,female,group B,high school,standard,none
57,female,group E,associate's degree,free/reduced,completed
70,male,group D,high school,standard,none
70,female,group E,associate's degree,free/reduced,none
69,male,group E,some college,standard,none
52,female,group C,associate's degree,standard,none
67,male,group C,some high school,standard,completed
76,male,group C,some high school,standard,completed
87,female,group E,associate's degree,standard,none
82,female,group B,some college,standard,none
73,female,group C,some college,standard,none
75,male,group A,some college,free/reduced,none
64,female,group D,some college,free/reduced,none
41,female,group E,high school,free/reduced,none
90,male,group C,high school,standard,none
59,male,group B,bachelor's degree,standard,none
51,male,group A,some high school,standard,none
45,male,group A,high school,free/reduced,none
54,female,group C,master's degree,standard,completed
87,male,group E,some high school,standard,completed
72,female,group C,high school,standard,none
94,male,group B,some high school,standard,completed
45,female,group A,bachelor's degree,standard,none
61,male,group D,bachelor's degree,free/reduced,completed
60,female,group B,high school,free/reduced,none
77,female,group C,some high school,standard,none
85,female,group A,some high school,standard,completed
78,female,group D,bachelor's degree,free/reduced,none
49,male,group E,some college,free/reduced,completed
71,female,group B,high school,free/reduced,none
48,female,group C,some high school,free/reduced,none
62,male,group C,high school,standard,none
56,female,group C,associate's degree,free/reduced,completed
65,female,group C,some high school,standard,none
69,female,group D,some high school,free/reduced,completed
68,male,group B,some high school,standard,none
61,female,group A,some college,free/reduced,none
74,female,group C,bachelor's degree,free/reduced,completed
64,male,group A,bachelor's degree,standard,none
77,female,group B,high school,standard,completed
58,male,group B,some college,standard,none
60,female,group C,high school,standard,completed
73,male,group E,high school,standard,none
75,female,group A,high school,standard,completed
58,male,group B,associate's degree,free/reduced,completed
66,female,group C,associate's degree,standard,none
39,female,group D,high school,free/reduced,none
64,male,group C,some high school,standard,none
23,female,group B,high school,free/reduced,completed
74,male,group B,some college,free/reduced,completed
40,female,group D,some high school,free/reduced,completed
90,male,group E,master's degree,standard,none
91,male,group C,master's degree,standard,completed
64,male,group D,high school,standard,none
59,female,group C,high school,standard,none
80,male,group D,associate's degree,standard,none
71,male,group C,master's degree,standard,none
61,female,group A,high school,standard,none
87,female,group E,some college,standard,none
82,male,group E,some high school,standard,none
62,male,group C,some high school,standard,none
97,female,group B,bachelor's degree,standard,none
75,male,group B,some college,free/reduced,none
65,female,group C,bachelor's degree,standard,none
52,male,group B,high school,standard,completed
87,male,group C,associate's degree,free/reduced,none
53,female,group C,associate's degree,standard,none
81,female,group E,master's degree,free/reduced,none
39,male,group D,bachelor's degree,free/reduced,completed
71,female,group C,some college,standard,completed
97,male,group C,associate's degree,standard,none
82,male,group D,some college,standard,completed
59,male,group C,high school,free/reduced,none
61,male,group B,associate's degree,standard,none
78,male,group E,associate's degree,free/reduced,completed
49,male,group C,associate's degree,free/reduced,none
59,male,group B,high school,standard,none
70,female,group C,some college,standard,completed
82,male,group B,associate's degree,standard,completed
90,male,group E,associate's degree,free/reduced,none
43,female,group C,bachelor's degree,free/reduced,none
80,male,group C,some college,free/reduced,none
81,male,group D,some college,standard,none
57,male,group C,some high school,standard,none
59,female,group D,some high school,standard,none
64,female,group D,associate's degree,standard,none
63,male,group C,bachelor's degree,standard,completed
71,female,group E,bachelor's degree,standard,completed
64,female,group B,high school,free/reduced,none
55,male,group D,bachelor's degree,free/reduced,none
51,female,group E,associate's degree,standard,none
62,female,group C,associate's degree,standard,completed
93,female,group E,associate's degree,standard,completed
54,male,group C,high school,free/reduced,none
69,female,group D,some college,free/reduced,none
44,male,group D,high school,free/reduced,none
86,female,group E,some college,standard,completed
85,female,group E,associate's degree,standard,none
50,female,group A,master's degree,free/reduced,none
88,male,group D,some high school,standard,completed
59,female,group E,associate's degree,standard,none
32,female,group E,some high school,free/reduced,none
36,male,group B,high school,free/reduced,none
63,female,group B,some high school,free/reduced,completed
67,male,group D,associate's degree,standard,completed
65,female,group D,some high school,standard,completed
85,male,group D,master's degree,standard,none
73,female,group C,master's degree,standard,none
34,female,group A,high school,free/reduced,completed
93,female,group D,bachelor's degree,free/reduced,completed
67,female,group D,some high school,free/reduced,none
88,male,group D,some college,standard,none
57,male,group B,high school,standard,none
79,female,group D,some college,standard,completed
67,female,group C,bachelor's degree,free/reduced,none
70,male,group E,bachelor's degree,standard,completed
50,male,group D,bachelor's degree,free/reduced,none
69,female,group A,some college,standard,none
52,female,group C,bachelor's degree,standard,completed
47,female,group C,bachelor's degree,free/reduced,completed
46,female,group B,associate's degree,free/reduced,none
68,female,group E,some college,standard,none
100,male,group E,bachelor's degree,standard,completed
44,female,group C,high school,standard,none
57,female,group C,associate's degree,standard,completed
91,male,group B,some college,standard,completed
69,male,group D,high school,free/reduced,none
35,female,group C,high school,free/reduced,none
72,male,group D,high school,standard,none
54,female,group B,associate's degree,free/reduced,none
74,male,group D,high school,free/reduced,none
74,male,group E,some high school,standard,completed
64,male,group E,associate's degree,free/reduced,none
65,female,group D,high school,free/reduced,completed
46,male,group E,associate's degree,free/reduced,completed
48,female,group C,some high school,free/reduced,none
67,male,group C,some college,free/reduced,completed
62,male,group D,some college,free/reduced,none
61,male,group D,associate's degree,free/reduced,completed
70,male,group C,bachelor's degree,free/reduced,completed
98,male,group C,associate's degree,standard,completed
70,male,group D,some college,free/reduced,none
67,male,group A,associate's degree,standard,none
57,female,group E,high school,free/reduced,none
85,male,group D,some college,standard,completed
77,male,group D,some high school,standard,completed
72,male,group C,master's degree,free/reduced,completed
78,female,group D,master's degree,standard,none
81,male,group C,high school,standard,none
61,male,group A,some high school,free/reduced,completed
58,female,group B,high school,standard,none
54,female,group C,associate's degree,standard,none
82,male,group B,high school,standard,none
49,female,group D,some college,free/reduced,none
49,male,group B,some high school,free/reduced,completed
57,female,group E,high school,free/reduced,completed
94,male,group E,high school,standard,none
75,female,group D,some college,standard,completed
74,female,group E,some high school,free/reduced,none
58,male,group C,high school,standard,completed
62,female,group C,some college,standard,none
72,male,group E,associate's degree,standard,none
84,male,group C,some college,standard,none
92,female,group D,master's degree,standard,none
45,female,group D,high school,standard,none
75,male,group C,high school,standard,none
56,female,group A,some college,standard,none
48,female,group D,some high school,free/reduced,none
100,female,group E,associate's degree,standard,none
65,female,group C,some high school,free/reduced,completed
72,male,group D,some college,standard,none
62,female,group D,some college,standard,none
66,male,group A,some high school,standard,completed
63,male,group C,some college,standard,none
68,female,group E,associate's degree,standard,none
75,female,group B,bachelor's degree,standard,none
89,female,group D,bachelor's degree,standard,none
78,male,group C,some high school,standard,completed
53,female,group A,high school,free/reduced,completed
49,female,group D,some college,free/reduced,none
54,female,group A,some college,standard,none
64,female,group C,some college,standard,completed
60,male,group B,some college,free/reduced,completed
62,male,group C,associate's degree,standard,none
55,male,group D,high school,standard,completed
91,female,group C,associate's degree,standard,none
8,female,group B,high school,free/reduced,none
81,male,group D,some high school,standard,none
79,male,group B,some high school,standard,completed
78,female,group A,some college,standard,completed
74,female,group C,some high school,standard,none
57,male,group A,high school,standard,none
40,female,group C,associate's degree,standard,none
81,male,group E,some high school,standard,completed
44,female,group A,some high school,free/reduced,none
67,female,group D,some college,free/reduced,completed
86,male,group E,high school,free/reduced,completed
65,female,group B,some high school,standard,completed
55,female,group D,associate's degree,free/reduced,none
62,female,group D,bachelor's degree,free/reduced,none
63,male,group A,high school,standard,none
88,female,group E,master's degree,standard,completed
62,male,group C,high school,free/reduced,none
59,female,group C,high school,free/reduced,completed
68,female,group D,some college,standard,completed
77,female,group D,some college,free/reduced,none
